collection,category,validation_status,error_type
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
